1539727128	21
1539727129	24
1539727130	24
1539727131	20
1539727132	25
1539727133	20
1539727134	20
1539727135	18
1539727136	8
1539727137	20
1539727138	12
1539727139	5
1539727140	10
1539727141	10
1539727142	13
1539727143	41
1539727144	22
1539727145	10
1539727146	12
1539727147	16
1539727148	22
1539727149	26
1539727150	16
1539727151	35
1539727152	38
1539727153	25
1539727154	14
1539727155	21
1539727156	39
1539727157	15
1539727158	21
1539727159	21
1539727160	48
1539727161	24
1539727162	36
1539727163	16
1539727164	14
1539727165	23
1539727166	31
1539727167	26
1539727168	28
1539727169	20
1539727170	15
1539727171	24
1539727172	27
1539727173	26
1539727174	13
1539727175	24
1539727176	23
1539727177	20
1539727178	9
1539727179	18
1539727180	24
1539727181	31
1539727182	21
1539727183	40
1539727184	43
1539727185	22
1539727186	30
1539727187	32
1539727188	13
1539727189	41
1539727190	21
1539727191	19
1539727192	21
1539727193	25
1539727194	20
1539727195	24
1539727196	36
1539727197	12
1539727198	28
1539727199	9
1539727200	0
1539727201	16
1539727202	29
1539727203	27
1539727204	32
1539727205	34
1539727206	28
1539727207	19
1539727208	17
1539727209	35
1539727210	36
1539727211	26
1539727212	26
1539727213	14
1539727214	18
1539727215	53
1539727216	28
1539727217	26
1539727218	50
1539727219	20
1539727220	10
1539727221	39
1539727222	13
1539727223	49
1539727224	26
1539727225	11
1539727226	15
1539727227	20
1539727228	34
1539727229	19
1539727230	35
1539727231	27
1539727232	18
1539727233	6
1539727234	12
1539727235	34
1539727236	34
1539727237	22
1539727238	26
1539727239	23
1539727240	17
1539727241	21
1539727242	11
1539727243	14
1539727244	17
1539727245	10
1539727246	15
1539727247	22
1539727248	45
1539727249	15
1539727250	18
1539727251	10
1539727252	34
1539727253	19
1539727254	33
1539727255	16
1539727256	11
1539727257	34
1539727258	13
1539727259	17
1539727260	12
1539727261	24
1539727262	39
1539727263	16
1539727264	64
1539727265	29
1539727266	48
1539727267	33
1539727268	12
1539727269	14
1539727270	10
1539727271	23
1539727272	24
1539727273	28
1539727274	21
1539727275	22
1539727276	16
1539727277	17
1539727278	23
1539727279	16
1539727280	21
1539727281	17
1539727282	25
1539727283	19
1539727284	14
1539727285	15
1539727286	20
1539727287	18
1539727288	27
1539727289	17
1539727290	18
1539727291	19
1539727292	27
1539727293	28
1539727294	14
1539727295	14
1539727296	24
1539727297	30
1539727298	19
1539727299	16
1539727300	22
1539727301	33
1539727302	13
1539727303	15
1539727304	19
1539727305	10
1539727306	22
1539727307	19
1539727308	24
1539727309	9
1539727310	30
1539727311	16
1539727312	20
1539727313	18
1539727314	17
1539727315	27
1539727316	23
1539727317	10
1539727318	22
1539727319	30
1539727320	14
1539727321	22
1539727322	34
1539727323	29
1539727324	35
1539727325	11
1539727326	51
1539727327	47
1539727328	40
1539727329	16
1539727330	28
1539727331	38
1539727332	33
1539727333	23
1539727334	22
1539727335	9
1539727336	26
1539727337	13
1539727338	5
1539727339	23
1539727340	28
1539727341	12
1539727342	17
1539727343	47
1539727344	17
1539727345	35
1539727346	20
1539727347	13
1539727348	20
1539727349	25
1539727350	19
1539727351	36
1539727352	16
1539727353	22
1539727354	29
1539727355	16
1539727356	35
1539727357	33
1539727358	6
1539727359	22
1539727360	14
1539727361	20
1539727362	25
1539727363	50
1539727364	33
1539727365	36
1539727366	16
1539727367	11
1539727368	23
1539727369	23
1539727370	17
1539727371	23
1539727372	27
1539727373	11
1539727374	5
1539727375	24
1539727376	37
1539727377	24
1539727378	24
1539727379	27
1539727380	12
1539727381	28
1539727382	5
1539727383	17
1539727384	28
1539727385	14
1539727386	46
1539727387	27
1539727388	16
1539727389	12
1539727390	36
1539727391	15
1539727392	28
1539727393	32
1539727394	19
1539727395	17
1539727396	40
1539727397	39
1539727398	11
1539727399	27
1539727400	19
1539727401	22
1539727402	21
1539727403	25
1539727404	10
1539727405	18
1539727406	14
1539727407	22
1539727408	15
1539727409	23
1539727410	25
1539727411	20
1539727412	30
1539727413	22
1539727414	29
1539727415	6
1539727416	29
1539727417	24
1539727418	24
1539727419	26
1539727420	21
1539727421	48
1539727422	35
1539727423	6
1539727424	9
1539727425	33
1539727426	25
1539727427	15
1539727428	11
1539727429	24
1539727430	16
1539727431	13
1539727432	18
